provider	model_id	missing_count	best_gain	remaining_after	best_kind	best_source	best_source_missing
openai	gpt-4o-mini-transcribe-2025-03-20	7	6	1	same-provider-date	openai:gpt-4o-mini-transcribe	1
openai	gpt-4o-mini-transcribe-2025-12-15	7	6	1	same-provider-date	openai:gpt-4o-mini-transcribe	1
openai	gpt-4o-mini-tts-2025-03-20	7	5	2	same-provider-date	openai:gpt-4o-mini-tts	2
openai	gpt-4o-mini-tts-2025-12-15	7	5	2	same-provider-date	openai:gpt-4o-mini-tts	2
vercel	mistral/codestral-embed	6	4	2	prefix-provider	mistral:codestral-embed	2
vercel	mistral/mistral-embed	6	4	2	prefix-provider	mistral:mistral-embed	2
openai	gpt-image-2-2026-04-21	7	4	3	same-provider-date	openai:gpt-image-2	3
deepinfra	nvidia/NVIDIA-Nemotron-3-Super-120B-A12B	3	3	0	prefix-provider	nvidia:nvidia/nemotron-3-super-120b-a12b	0
aihubmix	gpt-4o-2024-08-06	4	3	1	same-provider-date	aihubmix:gpt-4o	1
togetherai	openai/gpt-image-1.5	4	3	1	prefix-provider	openai:gpt-image-1.5	1
vercel	cohere/embed-v4.0	6	3	3	prefix-provider	cohere:embed-v4.0	4
vercel	openai/text-embedding-3-large	6	3	3	prefix-provider	openai:text-embedding-3-large	4
vercel	openai/text-embedding-3-small	6	3	3	prefix-provider	openai:text-embedding-3-small	4
vercel	openai/text-embedding-ada-002	6	3	3	prefix-provider	openai:text-embedding-ada-002	4
togetherai	openai/sora-2	7	3	4	prefix-provider	openai:sora-2	4
togetherai	openai/sora-2-pro	7	3	4	prefix-provider	openai:sora-2-pro	4
aihubmix	gpt-4o-2024-05-13	3	2	1	same-provider-date	aihubmix:gpt-4o	1
alibaba-cn	qwen-plus-2025-04-28	3	2	1	same-provider-date	alibaba-cn:qwen-plus	1
alibaba-cn	qwen-plus-2025-07-14	3	2	1	same-provider-date	alibaba-cn:qwen-plus	1
github-models	xai/grok-3	3	2	1	prefix-provider	xai:grok-3	2
github-models	xai/grok-3-mini	3	2	1	prefix-provider	xai:grok-3-mini	2
vercel	google/gemini-embedding-2	3	2	1	prefix-provider	google:gemini-embedding-2	5
aihubmix	o1-preview-2024-09-12	4	2	2	same-provider-date	aihubmix:o1-preview	2
aihubmix	qwen-turbo-2025-04-28	4	2	2	same-provider-date	aihubmix:qwen-turbo	2
vercel	google/gemini-embedding-001	6	2	4	prefix-provider	google:gemini-embedding-001	4
fastrouter	google/gemini-embedding-001	1	1	0	prefix-provider	google:gemini-embedding-001	4
fastrouter	openai/omni-moderation-latest	1	1	0	prefix-provider	openai:omni-moderation-latest	3
fastrouter	openai/text-embedding-3-large	1	1	0	prefix-provider	openai:text-embedding-3-large	4
fastrouter	openai/text-embedding-3-small	1	1	0	prefix-provider	openai:text-embedding-3-small	4
fastrouter	openai/text-embedding-ada-002	1	1	0	prefix-provider	openai:text-embedding-ada-002	4
tetrate	deepinfra/google/gemini-2.5-flash	1	1	0	prefix-provider	deepinfra:google/gemini-2.5-flash	0
tetrate	deepinfra/google/gemini-2.5-pro	1	1	0	prefix-provider	deepinfra:google/gemini-2.5-pro	0
tetrate	deepinfra/google/gemma-3-12b-it	1	1	0	prefix-provider	deepinfra:google/gemma-3-12b-it	0
tetrate	deepinfra/google/gemma-3-27b-it	1	1	0	prefix-provider	deepinfra:google/gemma-3-27b-it	0
tetrate	deepinfra/google/gemma-3-4b-it	1	1	0	prefix-provider	deepinfra:google/gemma-3-4b-it	0
tetrate	deepinfra/Gryphe/MythoMax-L2-13b	1	1	0	prefix-provider	deepinfra:Gryphe/MythoMax-L2-13b	0
tetrate	deepinfra/meta-llama/Llama-3.2-11B-Vision-Instruct	1	1	0	prefix-provider	deepinfra:meta-llama/Llama-3.2-11B-Vision-Instruct	0
tetrate	deepinfra/microsoft/phi-4	1	1	0	prefix-provider	deepinfra:microsoft/phi-4	0
tetrate	deepinfra/mistralai/Mistral-Small-24B-Instruct-2501	1	1	0	prefix-provider	deepinfra:mistralai/Mistral-Small-24B-Instruct-2501	0
tetrate	deepinfra/NousResearch/Hermes-3-Llama-3.1-405B	1	1	0	prefix-provider	deepinfra:NousResearch/Hermes-3-Llama-3.1-405B	0
tetrate	deepinfra/NousResearch/Hermes-3-Llama-3.1-70B	1	1	0	prefix-provider	deepinfra:NousResearch/Hermes-3-Llama-3.1-70B	0
tetrate	deepinfra/nvidia/Llama-3.3-Nemotron-Super-49B-v1.5	1	1	0	prefix-provider	deepinfra:nvidia/Llama-3.3-Nemotron-Super-49B-v1.5	0
tetrate	deepinfra/nvidia/Nemotron-3-Nano-30B-A3B	1	1	0	prefix-provider	deepinfra:nvidia/Nemotron-3-Nano-30B-A3B	0
tetrate	deepinfra/openai/gpt-oss-120b	1	1	0	prefix-provider	deepinfra:openai/gpt-oss-120b	0
