provider	model_id	provider_model_dir	openrouter_model_id	openrouter_model_dir	missing_fields
302ai	openai-gpt-4o-mini	openai-gpt-4o-mini	openai/gpt-4o-mini	openai-gpt-4o-mini	limit.context
abacus	google/gemma-4-31b-it	google-gemma-4-31b-it	google/gemma-4-31b-it	google-gemma-4-31b-it	features.tool_call
abacus	openai/gpt-oss-120b	openai-gpt-oss-120b	openai/gpt-oss-120b	openai-gpt-oss-120b	features.tool_call
abacus	Qwen/Qwen3-32B	qwen-qwen3-32b	qwen/qwen3-32b	qwen-qwen3-32b	features.tool_call
aihubmix	baidu/ERNIE-4.5-300B-A47B	baidu-ernie-4-5-300b-a47b	baidu/ernie-4.5-300b-a47b	baidu-ernie-4-5-300b-a47b	limit.context,modalities.output
aihubmix	cohere-command-a	cohere-command-a	cohere/command-a	cohere-command-a	limit.context,modalities.output
aihubmix	google/gemma-2-27b-it	google-gemma-2-27b-it	google/gemma-2-27b-it	google-gemma-2-27b-it	limit.context,features.attachment,modalities.input,modalities.output
aihubmix	google-gemma-3-12b-it	google-gemma-3-12b-it	google/gemma-3-12b-it	google-gemma-3-12b-it	limit.context,features.attachment,modalities.input,modalities.output
aihubmix	google-gemma-3-27b-it	google-gemma-3-27b-it	google/gemma-3-27b-it	google-gemma-3-27b-it	limit.context,features.attachment,modalities.input,modalities.output
aihubmix	google-gemma-3-4b-it	google-gemma-3-4b-it	google/gemma-3-4b-it	google-gemma-3-4b-it	limit.context,features.attachment,modalities.input,modalities.output
aihubmix	Gryphe/MythoMax-L2-13b	gryphe-mythomax-l2-13b	gryphe/mythomax-l2-13b	gryphe-mythomax-l2-13b	limit.context,features.attachment,modalities.input,modalities.output
aihubmix	meta-llama/llama-3.2-3b-instruct:free	meta-llama-llama-3-2-3b-instruct-free	meta-llama/llama-3.2-3b-instruct:free	meta-llama-llama-3-2-3b-instruct-free	limit.context,features.attachment,modalities.input,modalities.output
aihubmix	nvidia-llama-3.3-nemotron-super-49b-v1.5	nvidia-llama-3-3-nemotron-super-49b-v1-5	nvidia/llama-3.3-nemotron-super-49b-v1.5	nvidia-llama-3-3-nemotron-super-49b-v1-5	limit.context,features.attachment,modalities.input,modalities.output
aihubmix	nvidia-nemotron-3-nano-30b-a3b	nvidia-nemotron-3-nano-30b-a3b	nvidia/nemotron-3-nano-30b-a3b	nvidia-nemotron-3-nano-30b-a3b	limit.context,features.attachment,modalities.input,modalities.output
aihubmix	nvidia-nemotron-3-super-120b-a12b	nvidia-nemotron-3-super-120b-a12b	nvidia/nemotron-3-super-120b-a12b	nvidia-nemotron-3-super-120b-a12b	modalities.output
aihubmix	nvidia-nemotron-nano-9b-v2	nvidia-nemotron-nano-9b-v2	nvidia/nemotron-nano-9b-v2	nvidia-nemotron-nano-9b-v2	limit.context,features.attachment,modalities.input,modalities.output
aihubmix	Qwen/Qwen2.5-VL-72B-Instruct	qwen-qwen2-5-vl-72b-instruct	qwen/qwen2.5-vl-72b-instruct	qwen-qwen2-5-vl-72b-instruct	limit.context,modalities.output
aihubmix	Qwen/Qwen3-14B	qwen-qwen3-14b	qwen/qwen3-14b	qwen-qwen3-14b	limit.context,features.attachment,modalities.input,modalities.output
aihubmix	Qwen/Qwen3-30B-A3B	qwen-qwen3-30b-a3b	qwen/qwen3-30b-a3b	qwen-qwen3-30b-a3b	limit.context,features.attachment,modalities.input,modalities.output
aihubmix	Qwen/Qwen3-32B	qwen-qwen3-32b	qwen/qwen3-32b	qwen-qwen3-32b	limit.context,features.attachment,modalities.input,modalities.output
aihubmix	Qwen/Qwen3-8B	qwen-qwen3-8b	qwen/qwen3-8b	qwen-qwen3-8b	limit.context,features.attachment,modalities.input,modalities.output
aihubmix	tencent/Hunyuan-A13B-Instruct	tencent-hunyuan-a13b-instruct	tencent/hunyuan-a13b-instruct	tencent-hunyuan-a13b-instruct	limit.context,features.attachment,modalities.input,modalities.output
aihubmix	xiaomi-mimo-v2.5	xiaomi-mimo-v2-5	xiaomi/mimo-v2.5	xiaomi-mimo-v2-5	modalities.output
aihubmix	xiaomi-mimo-v2.5-pro	xiaomi-mimo-v2-5-pro	xiaomi/mimo-v2.5-pro	xiaomi-mimo-v2-5-pro	modalities.output
avian	deepseek/deepseek-v3.2	deepseek-deepseek-v3-2	deepseek/deepseek-v3.2	deepseek-deepseek-v3-2	features.attachment,features.tool_call,modalities.input,modalities.output
avian	deepseek/deepseek-v4-flash	deepseek-deepseek-v4-flash	deepseek/deepseek-v4-flash	deepseek-deepseek-v4-flash	features.attachment,features.tool_call,modalities.input,modalities.output
avian	deepseek/deepseek-v4-pro	deepseek-deepseek-v4-pro	deepseek/deepseek-v4-pro	deepseek-deepseek-v4-pro	features.attachment,features.tool_call,modalities.input,modalities.output
avian	minimax/minimax-m2.5	minimax-minimax-m2-5	minimax/minimax-m2.5	minimax-minimax-m2-5	features.attachment,features.tool_call,modalities.input,modalities.output
avian	moonshotai/kimi-k2.5	moonshotai-kimi-k2-5	moonshotai/kimi-k2.5	moonshotai-kimi-k2-5	features.attachment,features.tool_call,modalities.input,modalities.output
avian	moonshotai/kimi-k2.6	moonshotai-kimi-k2-6	moonshotai/kimi-k2.6	moonshotai-kimi-k2-6	features.attachment,features.tool_call,modalities.input,modalities.output
avian	z-ai/glm-5	z-ai-glm-5	z-ai/glm-5	z-ai-glm-5	features.attachment,features.tool_call,modalities.input,modalities.output
avian	z-ai/glm-5.1	z-ai-glm-5-1	z-ai/glm-5.1	z-ai-glm-5-1	features.attachment,features.tool_call,modalities.input,modalities.output
berget	google/gemma-4-31B-it	google-gemma-4-31b-it	google/gemma-4-31b-it	google-gemma-4-31b-it	limit.context,features.attachment
berget	meta-llama/Llama-3.1-8B-Instruct	meta-llama-llama-3-1-8b-instruct	meta-llama/llama-3.1-8b-instruct	meta-llama-llama-3-1-8b-instruct	limit.context,features.attachment
