provider	model_id	provider_model_dir	manual_attachment	missing_count	missing_fields
berget	BAAI/bge-reranker-base	baai-bge-reranker-base	false	3	limit.context,features.attachment,modalities.output
berget	BAAI/bge-reranker-v2-m3	baai-bge-reranker-v2-m3	false	3	limit.context,features.attachment,modalities.output
berget	bge-reranker	bge-reranker	false	3	limit.context,features.attachment,modalities.output
berget	bge-reranker-base	bge-reranker-base	false	3	limit.context,features.attachment,modalities.output
berget	deepseek-r1	deepseek-r1	false	2	limit.context,features.attachment
berget	e5	e5	false	3	limit.context,features.attachment,modalities.output
berget	e5-instruct	e5-instruct	false	3	limit.context,features.attachment,modalities.output
berget	e5-large	e5-large	false	3	limit.context,features.attachment,modalities.output
berget	e5-large-instruct	e5-large-instruct	false	3	limit.context,features.attachment,modalities.output
berget	gemma	gemma	false	2	limit.context,features.attachment
berget	gemma-4	gemma-4	false	2	limit.context,features.attachment
berget	gemma-4-31b	gemma-4-31b	false	2	limit.context,features.attachment
berget	gemma4	gemma4	false	2	limit.context,features.attachment
berget	gemma4-31b	gemma4-31b	false	2	limit.context,features.attachment
berget	glm	glm	false	2	limit.context,features.attachment
berget	glm-4.6	glm-4-6	false	2	limit.context,features.attachment
berget	glm-4.7	glm-4-7	false	2	limit.context,features.attachment
berget	glm4.6	glm4-6	false	2	limit.context,features.attachment
berget	glm4.7	glm4-7	false	2	limit.context,features.attachment
berget	google/gemma-4	google-gemma-4	false	2	limit.context,features.attachment
berget	google/gemma4	google-gemma4	false	2	limit.context,features.attachment
berget	intfloat/multilingual-e5-large	intfloat-multilingual-e5-large	false	3	limit.context,features.attachment,modalities.output
berget	intfloat/multilingual-e5-large-instruct	intfloat-multilingual-e5-large-instruct	false	3	limit.context,features.attachment,modalities.output
berget	llama-3	llama-3	false	2	limit.context,features.attachment
berget	llama-3.1	llama-3-1	false	2	limit.context,features.attachment
berget	llama-3.1-8b	llama-3-1-8b	false	2	limit.context,features.attachment
berget	llama-3.3	llama-3-3	false	2	limit.context,features.attachment
berget	llama-3.3-70b	llama-3-3-70b	false	2	limit.context,features.attachment
berget	meta/llama-3	meta-llama-3	false	2	limit.context,features.attachment
berget	meta/llama-3.1	meta-llama-3-1	false	2	limit.context,features.attachment
berget	meta/llama-3.1-8b	meta-llama-3-1-8b	false	2	limit.context,features.attachment
berget	meta/llama-3.3	meta-llama-3-3	false	2	limit.context,features.attachment
berget	meta/llama-3.3-70b	meta-llama-3-3-70b	false	2	limit.context,features.attachment
berget	reranker	reranker	false	3	limit.context,features.attachment,modalities.output
berget	unsloth/MAI-DS-R1-GGUF	unsloth-mai-ds-r1-gguf	false	2	limit.context,features.attachment
berget	zai-org/GLM-4.7	zai-org-glm-4-7	false	2	limit.context,features.attachment
berget	zai-org/GLM-4.7-FP8	zai-org-glm-4-7-fp8	false	2	limit.context,features.attachment
berget	zai/glm-4.6	zai-glm-4-6	false	2	limit.context,features.attachment
berget	zai/glm-4.7	zai-glm-4-7	false	2	limit.context,features.attachment
deepseek	deepseek-v4-flash	deepseek-v4-flash	false	1	features.attachment
deepseek	deepseek-v4-pro	deepseek-v4-pro	false	1	features.attachment
fireworks-ai	accounts/cogito/models/cogito-671b-v2-p1	accounts-cogito-models-cogito-671b-v2-p1	false	1	features.attachment
fireworks-ai	accounts/fireworks/models/chronos-hermes-13b-v2	accounts-fireworks-models-chronos-hermes-13b-v2	false	1	features.attachment
fireworks-ai	accounts/fireworks/models/code-llama-13b	accounts-fireworks-models-code-llama-13b	false	1	features.attachment
fireworks-ai	accounts/fireworks/models/code-llama-13b-instruct	accounts-fireworks-models-code-llama-13b-instruct	false	1	features.attachment
fireworks-ai	accounts/fireworks/models/code-llama-13b-python	accounts-fireworks-models-code-llama-13b-python	false	1	features.attachment
fireworks-ai	accounts/fireworks/models/code-llama-34b	accounts-fireworks-models-code-llama-34b	false	1	features.attachment
fireworks-ai	accounts/fireworks/models/code-llama-34b-instruct	accounts-fireworks-models-code-llama-34b-instruct	false	1	features.attachment
fireworks-ai	accounts/fireworks/models/code-llama-34b-python	accounts-fireworks-models-code-llama-34b-python	false	1	features.attachment
fireworks-ai	accounts/fireworks/models/code-llama-70b	accounts-fireworks-models-code-llama-70b	false	1	features.attachment
fireworks-ai	accounts/fireworks/models/code-llama-70b-instruct	accounts-fireworks-models-code-llama-70b-instruct	false	1	features.attachment
fireworks-ai	accounts/fireworks/models/code-llama-70b-python	accounts-fireworks-models-code-llama-70b-python	false	1	features.attachment
fireworks-ai	accounts/fireworks/models/code-llama-7b	accounts-fireworks-models-code-llama-7b	false	1	features.attachment
fireworks-ai	accounts/fireworks/models/code-llama-7b-instruct	accounts-fireworks-models-code-llama-7b-instruct	false	1	features.attachment
fireworks-ai	accounts/fireworks/models/code-qwen-1p5-7b	accounts-fireworks-models-code-qwen-1p5-7b	false	1	features.attachment
fireworks-ai	accounts/fireworks/models/codegemma-2b	accounts-fireworks-models-codegemma-2b	false	1	features.attachment
fireworks-ai	accounts/fireworks/models/codegemma-7b	accounts-fireworks-models-codegemma-7b	false	1	features.attachment
fireworks-ai	accounts/fireworks/models/cogito-v1-preview-llama-3b	accounts-fireworks-models-cogito-v1-preview-llama-3b	false	1	features.attachment
fireworks-ai	accounts/fireworks/models/cogito-v1-preview-llama-70b	accounts-fireworks-models-cogito-v1-preview-llama-70b	false	1	features.attachment
fireworks-ai	accounts/fireworks/models/cogito-v1-preview-llama-8b	accounts-fireworks-models-cogito-v1-preview-llama-8b	false	1	features.attachment
fireworks-ai	accounts/fireworks/models/cogito-v1-preview-qwen-14b	accounts-fireworks-models-cogito-v1-preview-qwen-14b	false	1	features.attachment
fireworks-ai	accounts/fireworks/models/cogito-v1-preview-qwen-32b	accounts-fireworks-models-cogito-v1-preview-qwen-32b	false	1	features.attachment
fireworks-ai	accounts/fireworks/models/deepseek-coder-1b-base	accounts-fireworks-models-deepseek-coder-1b-base	false	1	features.attachment
fireworks-ai	accounts/fireworks/models/deepseek-coder-33b-instruct	accounts-fireworks-models-deepseek-coder-33b-instruct	false	1	features.attachment
fireworks-ai	accounts/fireworks/models/deepseek-coder-7b-base	accounts-fireworks-models-deepseek-coder-7b-base	false	1	features.attachment
fireworks-ai	accounts/fireworks/models/deepseek-coder-7b-base-v1p5	accounts-fireworks-models-deepseek-coder-7b-base-v1p5	false	1	features.attachment
fireworks-ai	accounts/fireworks/models/deepseek-coder-7b-instruct-v1p5	accounts-fireworks-models-deepseek-coder-7b-instruct-v1p5	false	1	features.attachment
fireworks-ai	accounts/fireworks/models/deepseek-coder-v2-lite-base	accounts-fireworks-models-deepseek-coder-v2-lite-base	false	1	features.attachment
fireworks-ai	accounts/fireworks/models/deepseek-coder-v2-lite-instruct	accounts-fireworks-models-deepseek-coder-v2-lite-instruct	false	1	features.attachment
fireworks-ai	accounts/fireworks/models/deepseek-prover-v2	accounts-fireworks-models-deepseek-prover-v2	false	1	features.attachment
fireworks-ai	accounts/fireworks/models/deepseek-r1	accounts-fireworks-models-deepseek-r1	false	1	features.attachment
fireworks-ai	accounts/fireworks/models/deepseek-r1-0528	accounts-fireworks-models-deepseek-r1-0528	false	1	features.attachment
fireworks-ai	accounts/fireworks/models/deepseek-r1-0528-distill-qwen3-8b	accounts-fireworks-models-deepseek-r1-0528-distill-qwen3-8b	false	1	features.attachment
fireworks-ai	accounts/fireworks/models/deepseek-r1-basic	accounts-fireworks-models-deepseek-r1-basic	false	1	features.attachment
fireworks-ai	accounts/fireworks/models/deepseek-r1-distill-llama-70b	accounts-fireworks-models-deepseek-r1-distill-llama-70b	false	1	features.attachment
fireworks-ai	accounts/fireworks/models/deepseek-r1-distill-llama-8b	accounts-fireworks-models-deepseek-r1-distill-llama-8b	false	1	features.attachment
fireworks-ai	accounts/fireworks/models/deepseek-r1-distill-qwen-14b	accounts-fireworks-models-deepseek-r1-distill-qwen-14b	false	1	features.attachment
fireworks-ai	accounts/fireworks/models/deepseek-r1-distill-qwen-1p5b	accounts-fireworks-models-deepseek-r1-distill-qwen-1p5b	false	1	features.attachment
fireworks-ai	accounts/fireworks/models/deepseek-r1-distill-qwen-32b	accounts-fireworks-models-deepseek-r1-distill-qwen-32b	false	1	features.attachment
fireworks-ai	accounts/fireworks/models/deepseek-r1-distill-qwen-7b	accounts-fireworks-models-deepseek-r1-distill-qwen-7b	false	1	features.attachment
fireworks-ai	accounts/fireworks/models/deepseek-v2-lite-chat	accounts-fireworks-models-deepseek-v2-lite-chat	false	1	features.attachment
fireworks-ai	accounts/fireworks/models/deepseek-v2p5	accounts-fireworks-models-deepseek-v2p5	false	1	features.attachment
fireworks-ai	accounts/fireworks/models/deepseek-v3	accounts-fireworks-models-deepseek-v3	false	1	features.attachment
fireworks-ai	accounts/fireworks/models/deepseek-v3-0324	accounts-fireworks-models-deepseek-v3-0324	false	1	features.attachment
fireworks-ai	accounts/fireworks/models/deepseek-v3p1	accounts-fireworks-models-deepseek-v3p1	false	1	features.attachment
fireworks-ai	accounts/fireworks/models/deepseek-v3p1-terminus	accounts-fireworks-models-deepseek-v3p1-terminus	false	1	features.attachment
fireworks-ai	accounts/fireworks/models/deepseek-v3p2	accounts-fireworks-models-deepseek-v3p2	false	1	features.attachment
