model_id	base_id	extends_path
gpt-4-turbo-2024-04-09	gpt-4-turbo	openai/models/gpt-4-turbo
gpt-4.1-2025-04-14	gpt-4.1	openai/models/gpt-4-1
gpt-4.1-mini-2025-04-14	gpt-4.1-mini	openai/models/gpt-4-1-mini
gpt-4.1-nano-2025-04-14	gpt-4.1-nano	openai/models/gpt-4-1-nano
gpt-4o-2024-05-13	gpt-4o	openai/models/gpt-4o
gpt-4o-2024-08-06	gpt-4o	openai/models/gpt-4o
gpt-4o-2024-11-20	gpt-4o	openai/models/gpt-4o
gpt-4o-audio-preview-2024-12-17	gpt-4o-audio-preview	openai/models/gpt-4o-audio-preview
gpt-4o-audio-preview-2025-06-03	gpt-4o-audio-preview	openai/models/gpt-4o-audio-preview
gpt-4o-mini-2024-07-18	gpt-4o-mini	openai/models/gpt-4o-mini
gpt-4o-mini-audio-preview-2024-12-17	gpt-4o-mini-audio-preview	openai/models/gpt-4o-mini-audio-preview
gpt-4o-mini-realtime-preview-2024-12-17	gpt-4o-mini-realtime-preview	openai/models/gpt-4o-mini-realtime-preview
gpt-4o-mini-search-preview-2025-03-11	gpt-4o-mini-search-preview	openai/models/gpt-4o-mini-search-preview
gpt-4o-realtime-preview-2024-12-17	gpt-4o-realtime-preview	openai/models/gpt-4o-realtime-preview
gpt-4o-realtime-preview-2025-06-03	gpt-4o-realtime-preview	openai/models/gpt-4o-realtime-preview
gpt-4o-search-preview-2025-03-11	gpt-4o-search-preview	openai/models/gpt-4o-search-preview
gpt-5-2025-08-07	gpt-5	openai/models/gpt-5
gpt-5-mini-2025-08-07	gpt-5-mini	openai/models/gpt-5-mini
gpt-5-nano-2025-08-07	gpt-5-nano	openai/models/gpt-5-nano
gpt-5-pro-2025-10-06	gpt-5-pro	openai/models/gpt-5-pro
gpt-5.1-2025-11-13	gpt-5.1	openai/models/gpt-5-1
gpt-5.2-2025-12-11	gpt-5.2	openai/models/gpt-5-2
gpt-5.2-pro-2025-12-11	gpt-5.2-pro	openai/models/gpt-5-2-pro
gpt-5.4-2026-03-05	gpt-5.4	openai/models/gpt-5-4
gpt-5.4-mini-2026-03-17	gpt-5.4-mini	openai/models/gpt-5-4-mini
gpt-5.4-nano-2026-03-17	gpt-5.4-nano	openai/models/gpt-5-4-nano
gpt-5.4-pro-2026-03-05	gpt-5.4-pro	openai/models/gpt-5-4-pro
gpt-5.5-2026-04-23	gpt-5.5	openai/models/gpt-5-5
gpt-5.5-pro-2026-04-23	gpt-5.5-pro	openai/models/gpt-5-5-pro
gpt-audio-2025-08-28	gpt-audio	openai/models/gpt-audio
gpt-audio-mini-2025-10-06	gpt-audio-mini	openai/models/gpt-audio-mini
gpt-audio-mini-2025-12-15	gpt-audio-mini	openai/models/gpt-audio-mini
gpt-realtime-2025-08-28	gpt-realtime	openai/models/gpt-realtime
gpt-realtime-mini-2025-10-06	gpt-realtime-mini	openai/models/gpt-realtime-mini
gpt-realtime-mini-2025-12-15	gpt-realtime-mini	openai/models/gpt-realtime-mini
o1-2024-12-17	o1	openai/models/o1
o1-pro-2025-03-19	o1-pro	openai/models/o1-pro
o3-2025-04-16	o3	openai/models/o3
o3-mini-2025-01-31	o3-mini	openai/models/o3-mini
o4-mini-2025-04-16	o4-mini	openai/models/o4-mini
