provider	model_id	provider_model_dir	source_provider	source_model_id	source_model_dir	source_path	type	missing_fields	source_missing_fields
302ai	openai-gpt-4o-mini	openai-gpt-4o-mini	openrouter	openai/gpt-4o-mini	openai-gpt-4o-mini	openrouter/models/openai-gpt-4o-mini	openrouter-complete	limit.context	
abacus	google/gemma-4-31b-it	google-gemma-4-31b-it	openrouter	google/gemma-4-31b-it	google-gemma-4-31b-it	openrouter/models/google-gemma-4-31b-it	openrouter-complete	features.tool_call	
abacus	openai/gpt-oss-120b	openai-gpt-oss-120b	openrouter	openai/gpt-oss-120b	openai-gpt-oss-120b	openrouter/models/openai-gpt-oss-120b	openrouter-complete	features.tool_call	
abacus	Qwen/Qwen3-32B	qwen-qwen3-32b	openrouter	qwen/qwen3-32b	qwen-qwen3-32b	openrouter/models/qwen-qwen3-32b	openrouter-complete	features.tool_call	
aihubmix	baidu/ERNIE-4.5-300B-A47B	baidu-ernie-4-5-300b-a47b	openrouter	baidu/ernie-4.5-300b-a47b	baidu-ernie-4-5-300b-a47b	openrouter/models/baidu-ernie-4-5-300b-a47b	openrouter-complete	limit.context,modalities.output	
aihubmix	cohere-command-a	cohere-command-a	openrouter	cohere/command-a	cohere-command-a	openrouter/models/cohere-command-a	openrouter-complete	limit.context,modalities.output	
aihubmix	google-gemma-3-12b-it	google-gemma-3-12b-it	openrouter	google/gemma-3-12b-it	google-gemma-3-12b-it	openrouter/models/google-gemma-3-12b-it	openrouter-complete	limit.context,features.attachment,modalities.input,modalities.output	
aihubmix	google-gemma-3-27b-it	google-gemma-3-27b-it	openrouter	google/gemma-3-27b-it	google-gemma-3-27b-it	openrouter/models/google-gemma-3-27b-it	openrouter-complete	limit.context,features.attachment,modalities.input,modalities.output	
aihubmix	google-gemma-3-4b-it	google-gemma-3-4b-it	openrouter	google/gemma-3-4b-it	google-gemma-3-4b-it	openrouter/models/google-gemma-3-4b-it	openrouter-complete	limit.context,features.attachment,modalities.input,modalities.output	
aihubmix	google/gemma-2-27b-it	google-gemma-2-27b-it	openrouter	google/gemma-2-27b-it	google-gemma-2-27b-it	openrouter/models/google-gemma-2-27b-it	openrouter-complete	limit.context,features.attachment,modalities.input,modalities.output	
aihubmix	Gryphe/MythoMax-L2-13b	gryphe-mythomax-l2-13b	openrouter	gryphe/mythomax-l2-13b	gryphe-mythomax-l2-13b	openrouter/models/gryphe-mythomax-l2-13b	openrouter-complete	limit.context,features.attachment,modalities.input,modalities.output	
aihubmix	meta-llama/llama-3.2-3b-instruct:free	meta-llama-llama-3-2-3b-instruct-free	openrouter	meta-llama/llama-3.2-3b-instruct:free	meta-llama-llama-3-2-3b-instruct-free	openrouter/models/meta-llama-llama-3-2-3b-instruct-free	openrouter-complete	limit.context,features.attachment,modalities.input,modalities.output	
aihubmix	nvidia-llama-3.3-nemotron-super-49b-v1.5	nvidia-llama-3-3-nemotron-super-49b-v1-5	openrouter	nvidia/llama-3.3-nemotron-super-49b-v1.5	nvidia-llama-3-3-nemotron-super-49b-v1-5	openrouter/models/nvidia-llama-3-3-nemotron-super-49b-v1-5	openrouter-complete	limit.context,features.attachment,modalities.input,modalities.output	
aihubmix	nvidia-nemotron-3-nano-30b-a3b	nvidia-nemotron-3-nano-30b-a3b	openrouter	nvidia/nemotron-3-nano-30b-a3b	nvidia-nemotron-3-nano-30b-a3b	openrouter/models/nvidia-nemotron-3-nano-30b-a3b	openrouter-complete	limit.context,features.attachment,modalities.input,modalities.output	
aihubmix	nvidia-nemotron-3-super-120b-a12b	nvidia-nemotron-3-super-120b-a12b	openrouter	nvidia/nemotron-3-super-120b-a12b	nvidia-nemotron-3-super-120b-a12b	openrouter/models/nvidia-nemotron-3-super-120b-a12b	openrouter-complete	modalities.output	
aihubmix	nvidia-nemotron-nano-9b-v2	nvidia-nemotron-nano-9b-v2	openrouter	nvidia/nemotron-nano-9b-v2	nvidia-nemotron-nano-9b-v2	openrouter/models/nvidia-nemotron-nano-9b-v2	openrouter-complete	limit.context,features.attachment,modalities.input,modalities.output	
aihubmix	Qwen/Qwen2.5-VL-72B-Instruct	qwen-qwen2-5-vl-72b-instruct	openrouter	qwen/qwen2.5-vl-72b-instruct	qwen-qwen2-5-vl-72b-instruct	openrouter/models/qwen-qwen2-5-vl-72b-instruct	openrouter-complete	limit.context,modalities.output	
aihubmix	Qwen/Qwen3-14B	qwen-qwen3-14b	openrouter	qwen/qwen3-14b	qwen-qwen3-14b	openrouter/models/qwen-qwen3-14b	openrouter-complete	limit.context,features.attachment,modalities.input,modalities.output	
aihubmix	Qwen/Qwen3-30B-A3B	qwen-qwen3-30b-a3b	openrouter	qwen/qwen3-30b-a3b	qwen-qwen3-30b-a3b	openrouter/models/qwen-qwen3-30b-a3b	openrouter-complete	limit.context,features.attachment,modalities.input,modalities.output	
aihubmix	Qwen/Qwen3-32B	qwen-qwen3-32b	openrouter	qwen/qwen3-32b	qwen-qwen3-32b	openrouter/models/qwen-qwen3-32b	openrouter-complete	limit.context,features.attachment,modalities.input,modalities.output	
aihubmix	Qwen/Qwen3-8B	qwen-qwen3-8b	openrouter	qwen/qwen3-8b	qwen-qwen3-8b	openrouter/models/qwen-qwen3-8b	openrouter-complete	limit.context,features.attachment,modalities.input,modalities.output	
